nome,regiao,cultura,area_ha,producao_ton,custo_por_ha,safra
Fazenda Boa Vista,Sudeste,Soja,850,3230,1200,2025
Fazenda Santa Maria,Sul,Milho,620,3720,980,2025
Fazenda São José,Centro-Oeste,Soja,1200,4560,1100,2025
Sítio Esperança,Nordeste,Algodão,340,510,1500,2025
Fazenda Aurora,Sul,Soja,780,2964,1150,2025
Fazenda Primavera,Centro-Oeste,Milho,950,5700,1050,2025
Fazenda Nova Era,Sudeste,Café,420,630,2200,2025
Estância do Sol,Centro-Oeste,Soja,1500,5850,1080,2025
Fazenda Rio Bonito,Sul,Milho,550,3080,990,2025
Fazenda Ipê,Nordeste,Algodão,280,392,1450,2025
Fazenda Liberdade,Centro-Oeste,Soja,2100,8610,1050,2025
Sítio Verde,Sudeste,Café,180,288,2350,2025
Fazenda Cerrado,Centro-Oeste,Milho,870,5568,1000,2025
Fazenda Pioneira,Sul,Soja,680,2788,1180,2025
Fazenda Horizonte,Nordeste,Algodão,450,585,1520,2025
